uid,ward_id,ward_name,ward_name_kn,corporation,zone,zone_name,ac,ac_no,assembly,ro_division,aro,area_sqkm,pop,male,female,bus,bus_cov,metro,metro_cov,road_km,road_density,polling,parks,parks_cov,playgrounds,playground_area_sqkm,open_space_pc,lakes,lake_cov,lake_area_sqkm,ponds,pond_area_sqkm,water_cov_pct,flood_vuln,flood_prone,low_lying,drain_primary,drain_secondary,drain_tertiary,drain_total,drain_density,schools,anganwadi,anganwadi_per_1000,toilet_cov,toilets,police,police_outpost,railway_police,fire,neighbourhoods,contact_corporator,contact_party,contact_aee,contact_aee_phone,contact_aro_name,contact_aro_phone,old_wards,reservation
Central-1,1,Ramaswamy Palya,ರಾಮಸ್ವಾಮಿ ಪಾಳ್ಯ,Central,Zone2,Gandhinagara,Shivajinagar,162,162 - Shivajinagar,RO- Shivajinagar,ARO- Shivajinagar,0.699,26124,13164,12960,4,100.1,0,,18.87,27.0,24,2,100.1,0,0.0,0.0,0,,0.0,0,0.0,0.0,0,0,1,1.16,0.0,0.0,1.16,1.66,8,1,0.04,100.1,2,1,0,0,0,Anchappa Garden; Anjanappa Garden; Chinnappa Garden; JC Nagar; Marappa Garden; Munireddypalya,Netravathi Krishnegowda,INC,GEETHA,9480684062,Ganesh,9880545707,Ramaswamy Palya (100%),General (Women)
Central-2,2,Jayamahal,ಜಯಮಹಲ್,Central,Zone2,Gandhinagara,Shivajinagar,162,162 - Shivajinagar,RO- Shivajinagar,ARO- Shivajinagar,1.421,25834,12803,12981,20,100.1,0,7.3,35.74,25.14,27,6,100.1,1,0.0046,0.18,0,,0.0,0,0.0,0.0,0,2,3,0.0,0.0,0.16,0.16,0.11,14,5,0.19,100.1,2,0,0,1,0,Benson Town; Jayamahal; Jayamahal Extension; Williams Town,M K Gunashekhar,INC,GEETHA,9480684062,Ganesh,9880545707,Jayamahal (88.6%); Ramaswamy Palya (9.2%); Shivaji Nagar (2.1%),Scheduled Caste
Central-3,3,Vasanth Nagar,ವಸಂತ ನಗರ,Central,Zone2,Gandhinagara,Shivajinagar,162,162 - Shivajinagar,RO- Shivajinagar,ARO- Vasanthanagar,1.944,28272,14112,14209,27,100.1,1,49.0,55.23,28.42,22,5,100.1,0,0.0,0.0,0,,0.0,0,0.0,0.0,0,0,0,0.0,0.5,1.87,2.37,1.22,29,1,0.04,86.7,1,2,1,0,0,Abshot Layout; Chakravarty Layout; Kaverappa Layout; RV Layout; Vasanth Nagar,Sampath Kumar,BJP,GEETHA,9480684062,Anand,9480684336,Vasanth Nagar (68.2%); Sampangiram Nagar (19.9%); Jayamahal (9.1%); Shivaji Nagar (2.8%),"Backward Class ""A"" (Women)"
Central-4,4,Sampangirama Nagar,ಸಂಪಂಗಿರಾಮ ನಗರ,Central,Zone2,Gandhinagara,Shivajinagar,162,162 - Shivajinagar,RO- Shivajinagar,ARO- Vasanthanagar,4.671,27874,13872,14002,60,95.4,2,54.7,79.14,16.94,28,8,90.5,2,0.0209,0.75,0,,0.0,0,0.0,0.0,0,2,1,0.0,1.36,0.0,1.36,0.29,25,4,0.14,54.4,1,4,4,0,2,Cubbonpet; Fair Field Layout; High Grounds; Kumara Park East; Madhav Nagar; Sampangirama Nagar; Srikantan Layout,R Vasanth Kumar,INC,GEETHA,9480684062,Anand,9480684336,Sampangiram Nagar (61.6%); Vasanth Nagar (38.4%),"Backward Class ""A"" (Women)"
Central-5,5,Shivajinagar,ಶಿವಾಜಿನಗರ,Central,Zone2,Gandhinagara,Shivajinagar,162,162 - Shivajinagar,RO- Shivajinagar,ARO- Shivajinagar,1.161,25484,13018,12466,7,100.1,0,80.6,32.49,27.98,32,0,100.1,1,0.0145,0.57,0,23.5,0.0,0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,19,0,0.0,100.1,3,4,0,0,0,Commercial Street Market; Shivajinagar; Tasker Town,R Vasanth Kumar,INC,GEETHA,9480684062,Anand,9480684336,Sampangiram Nagar (67.4%); Bharathi Nagar (17.3%); Shivaji Nagar (15.2%),General
Central-6,6,Bharathi Nagar,ಭಾರತಿ ನಗರ,Central,Zone2,Gandhinagara,Shivajinagar,162,162 - Shivajinagar,RO- Shivajinagar,ARO- Halasuru,0.336,24220,12305,11915,2,100.1,0,,12.04,35.85,20,0,99.5,0,0.0,0.0,0,33.5,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,0,0.0,100.1,0,1,0,0,0,,Shakeel Ahmed,INC,Shivram,9480254985,Prathap,9451792251,Bharathi Nagar (50.9%); Shivaji Nagar (49.1%),General (Women)
Central-7,7,K Kamaraj Ward,ಕೆ ಕಾಮರಾಜ್ ವಾರ್ಡ್,Central,Zone2,Gandhinagara,Shivajinagar,162,162 - Shivajinagar,RO- Shivajinagar,ARO- Halasuru,1.982,23193,11561,11632,24,90.3,1,48.5,35.48,17.9,16,2,89.3,5,0.0678,2.92,1,73.5,0.4053,0,0.0,20.44,1,0,1,1.19,0.0,0.0,1.19,0.6,21,0,0.0,68.4,1,0,0,0,0,Hanumanthappa Layout; Kothandram Layout; Sivanchetti Gardens; Yellappa Chetty Layout,Mamatha Saravana,Independent,Shivram,9480254985,Prathap,9451792251,Halsoor (58.9%); Sampangiram Nagar (20.6%); Bharathi Nagar (20.6%),General (Women)
Central-8,8,Halasuru,ಹಲಸೂರು,Central,Zone2,Gandhinagara,Shivajinagar,162,162 - Shivajinagar,RO- Shivajinagar,ARO- Halasuru,0.513,24019,12372,11647,1,100.1,1,100.1,15.37,29.94,24,0,100.1,0,0.0,0.0,0,4.1,0.0,0,0.0,0.0,1,0,0,0.94,0.0,0.0,0.94,1.82,6,0,0.0,10.6,0,0,0,0,0,Dodakattappa; Gupta Layout; Halasuru; MV Garden; Someshwarpura,Mamatha Saravana,Independent,Shivram,9480254985,Prathap,9451792251,Halsoor (100%),Scheduled Caste (Women)
Central-9,9,Hoysala Nagara Central,ಹೊಯ್ಸಳ ನಗರ ಕೇಂದ್ರ,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Indiranagar,ARO- Indiranagar,1.969,27798,13720,14078,13,99.1,1,54.3,43.76,22.23,29,8,90.2,3,0.0328,1.18,0,11.3,0.0,0,0.0,0.0,0,1,0,0.22,1.56,1.18,2.96,1.5,13,4,0.14,57.8,1,0,0,0,0,Corporation Colony; Hoysala Nagar; Indiranagar 1st Stage; Indiranagar 2nd Stage; Jayaraj Nagar; Kadiranpalaya; Kalahalli; LBS Nagar; Lakshmipuram,Shashirekha Mukund,BJP,Ravindra Babu,9880475083,Ganesh,9880545707,Sarvagna Nagar (52.4%); Hoysala Nagar (47.6%),Scheduled Caste
Central-10,10,Cox Town,ಕಾಕ್ಸ್ ಟೌನ್,Central,Zone1,C.V. Raman Nagar,C.V. Raman Nagar,161,161 - C.V. Raman Nagar,RO- Indiranagar,ARO- Indiranagar,1.243,21026,10550,10477,8,99.3,0,,20.02,16.11,20,0,90.3,2,0.0303,1.44,0,22.4,0.0,3,0.0298,2.4,0,1,0,1.05,2.13,0.76,3.94,3.17,10,2,0.1,50.8,0,1,0,0,0,Cox Town; Doddigunta,Shashirekha Mukund,BJP,Ravindra Babu,9880475083,Ganesh,9880545707,Sarvagna Nagar (100%),General
